Benchmark,dotnetcore_nollvm,mono-mono-981da38038775e963db88c40c525aaafb277ff40_nollvm,mono-mono-981da38038775e963db88c40c525aaafb277ff40_nollvm-interpreter
System.Buffers.Text.Tests.Utf8ParserTests.TryParseSByte(value: 127),1.00,1.00,0.91,
System.Buffers.Text.Tests.Utf8ParserTests.TryParseUInt64(value: 18446744073709551615),1.00,1.00,0.99,
System.Buffers.Text.Tests.Utf8ParserTests.TryParseInt32(value: 2147483647),1.00,1.00,1.00,
System.Buffers.Text.Tests.Utf8ParserTests.TryParseByte(value: 255),1.00,1.00,1.00,
System.Buffers.Text.Tests.Utf8ParserTests.TryParseSingle(value: 3.4028235E+38),1.00,1.00,0.98,
System.Buffers.Text.Tests.Utf8ParserTests.TryParseUInt64Hex(value: 3039),1.00,1.00,0.98,
System.Buffers.Text.Tests.Utf8ParserTests.TryParseUInt32Hex(value: 3039),1.00,1.00,0.97,
System.Buffers.Text.Tests.Utf8ParserTests.TryParseInt16(value: 32767),1.00,1.00,1.01,
System.Buffers.Text.Tests.Utf8ParserTests.TryParseInt32(value: 4),1.00,1.00,0.99,
System.Buffers.Text.Tests.Utf8ParserTests.TryParseUInt32(value: 4294967295),1.00,1.00,1.00,
System.Buffers.Text.Tests.Utf8ParserTests.TryParseUInt16(value: 65535),1.00,1.00,0.99,
System.Buffers.Text.Tests.Utf8ParserTests.TryParseInt64(value: 9223372036854775807),1.00,1.00,0.99,
System.Buffers.Text.Tests.Utf8ParserTests.TryParseUInt64Hex(value: FFFFFFFFFFFFFFFF),1.00,1.00,1.01,
System.Buffers.Text.Tests.Utf8ParserTests.TryParseUInt32Hex(value: FFFFFFFFFFFFFFFF),1.00,1.00,0.99,
System.Buffers.Text.Tests.Utf8ParserTests.TryParseBool(value: False),1.00,1.00,1.01,
System.Buffers.Text.Tests.Utf8ParserTests.TryParseBool(value: True),1.00,1.00,1.01,
System.Collections.IterateFor<Int32>.Array(Size: 512),1.00,1.00,1.03,
System.Collections.IterateFor<Int32>.Span(Size: 512),1.00,1.00,0.97,
System.Collections.IterateFor<Int32>.ReadOnlySpan(Size: 512),1.00,1.00,0.99,
System.Collections.IterateFor<Int32>.List(Size: 512),1.00,1.00,0.97,
System.Collections.IterateFor<Int32>.IList(Size: 512),1.00,1.00,1.00,
System.Collections.IterateFor<Int32>.ImmutableArray(Size: 512),1.00,1.00,0.99,
System.Collections.IterateFor<Int32>.ImmutableList(Size: 512),1.00,1.00,1.01,
System.Collections.IterateFor<Int32>.ImmutableSortedSet(Size: 512),1.00,1.00,1.04,
System.Collections.CtorFromCollectionNonGeneric<Int32>.ArrayList(Size: 512),1.00,1.00,1.01,
System.Collections.CtorFromCollectionNonGeneric<Int32>.Hashtable(Size: 512),1.00,1.00,1.00,
System.Collections.CtorFromCollectionNonGeneric<Int32>.Queue(Size: 512),1.00,1.00,0.96,
System.Collections.CtorFromCollectionNonGeneric<Int32>.Stack(Size: 512),1.00,1.00,0.99,
System.Collections.CtorFromCollectionNonGeneric<Int32>.SortedList(Size: 512),1.00,1.00,1.04,
System.Net.NetworkInformation.Tests.PhysicalAddressTests.PAShort,1.00,1.00,0.99,
System.Net.NetworkInformation.Tests.PhysicalAddressTests.PALong,1.00,1.00,1.01,
System.MathBenchmarks.MathTests.DivRemInt32,SMALL,SMALL,SMALL,
System.MathBenchmarks.MathTests.DivRemInt64,1.00,1.00,1.01,
System.Threading.Tests.Perf_ThreadPool.QueueUserWorkItem_WaitCallback_Throughput(WorkItemsPerCore: 2...,1.00,1.00,0.96,
System.Collections.TryGetValueFalse<Int32; Int32>.Dictionary(Size: 512),1.00,1.00,1.13,
System.Collections.TryGetValueFalse<Int32; Int32>.IDictionary(Size: 512),1.00,1.00,1.03,
System.Collections.TryGetValueFalse<Int32; Int32>.SortedList(Size: 512),1.00,1.00,0.97,
System.Collections.TryGetValueFalse<Int32; Int32>.SortedDictionary(Size: 512),1.00,1.00,1.02,
System.Collections.TryGetValueFalse<Int32; Int32>.ConcurrentDictionary(Size: 512),1.00,1.00,1.03,
System.Collections.TryGetValueFalse<Int32; Int32>.ImmutableDictionary(Size: 512),1.00,1.00,0.99,
System.Collections.TryGetValueFalse<Int32; Int32>.ImmutableSortedDictionary(Size: 512),1.00,1.00,1.00,
System.Buffers.Binary.Tests.BinaryReadAndWriteTests.ReadStructAndReverseBE,1.00,1.00,1.03,
System.Buffers.Binary.Tests.BinaryReadAndWriteTests.ReadStructAndReverseLE,1.00,1.00,0.98,
System.Buffers.Binary.Tests.BinaryReadAndWriteTests.ReadStructFieldByFieldBE,1.00,1.00,1.00,
System.Buffers.Binary.Tests.BinaryReadAndWriteTests.ReadStructFieldByFieldLE,1.00,1.00,1.00,
System.Buffers.Binary.Tests.BinaryReadAndWriteTests.ReadStructFieldByFieldUsingBitConverterLE,1.00,1.00,0.99,
System.Buffers.Binary.Tests.BinaryReadAndWriteTests.ReadStructFieldByFieldUsingBitConverterBE,1.00,1.00,0.99,
System.Buffers.Binary.Tests.BinaryReadAndWriteTests.MeasureReverseEndianness,1.00,1.00,1.00,
System.Buffers.Binary.Tests.BinaryReadAndWriteTests.MeasureReverseUsingNtoH,1.00,1.00,1.01,
System.Collections.ContainsKeyTrue<String; String>.Dictionary(Size: 512),1.00,1.00,0.94,
System.Collections.ContainsKeyTrue<String; String>.IDictionary(Size: 512),1.00,1.00,0.96,
System.Collections.ContainsKeyTrue<String; String>.SortedList(Size: 512),1.00,1.00,0.97,
System.Collections.ContainsKeyTrue<String; String>.SortedDictionary(Size: 512),1.00,1.00,0.97,
System.Collections.ContainsKeyTrue<String; String>.ConcurrentDictionary(Size: 512),1.00,1.00,1.00,
System.Collections.ContainsKeyTrue<String; String>.ImmutableDictionary(Size: 512),1.00,1.00,1.03,
System.Collections.ContainsKeyTrue<String; String>.ImmutableSortedDictionary(Size: 512),1.00,1.00,1.00,
Benchstone.BenchI.Midpoint.Test,1.00,1.00,1.00,
Benchstone.BenchI.TreeSort.Test,1.00,1.00,1.03,
System.Memory.Constructors_ValueTypesOnly<Byte>.SpanFromPointerLength,SMALL,SMALL,SMALL,
System.Memory.Constructors_ValueTypesOnly<Byte>.ReadOnlyFromPointerLength,SMALL,SMALL,SMALL,
System.Text.Json.Reader.Tests.Perf_Base64.ReadBase64EncodedByteArray_NoEscaping(NumberOfBytes: 100),1.00,1.00,1.00,
System.Text.Json.Reader.Tests.Perf_Base64.ReadBase64EncodedByteArray_HeavyEscaping(NumberOfBytes: 10...,1.00,1.00,0.96,
System.Text.Json.Reader.Tests.Perf_Base64.ReadBase64EncodedByteArray_NoEscaping(NumberOfBytes: 1000),1.00,1.00,1.04,
System.Text.Json.Reader.Tests.Perf_Base64.ReadBase64EncodedByteArray_HeavyEscaping(NumberOfBytes: 10...,1.00,1.00,1.00,
GuardedDevirtualization.ThreeClassVirtual.Call(testInput: pB=0.00 pD=0.00),SMALL,SMALL,SMALL,
GuardedDevirtualization.ThreeClassVirtual.Call(testInput: pB=0.00 pD=0.33),1.00,1.00,0.97,
GuardedDevirtualization.ThreeClassVirtual.Call(testInput: pB=0.00 pD=0.67),1.00,1.00,1.00,
GuardedDevirtualization.ThreeClassVirtual.Call(testInput: pB=0.00 pD=1.00),SMALL,SMALL,SMALL,
GuardedDevirtualization.ThreeClassVirtual.Call(testInput: pB=0.33 pD=0.00),1.00,1.00,1.00,
GuardedDevirtualization.ThreeClassVirtual.Call(testInput: pB=0.33 pD=0.33),1.00,1.00,1.00,
GuardedDevirtualization.ThreeClassVirtual.Call(testInput: pB=0.33 pD=0.67),1.00,1.00,0.98,
GuardedDevirtualization.ThreeClassVirtual.Call(testInput: pB=0.67 pD=0.00),1.00,1.00,0.98,
GuardedDevirtualization.ThreeClassVirtual.Call(testInput: pB=0.67 pD=0.33),1.00,1.00,0.97,
GuardedDevirtualization.ThreeClassVirtual.Call(testInput: pB=1.00 pD=0.00),SMALL,SMALL,SMALL,
System.Threading.Tasks.ValueTaskPerfTest.Await_FromResult,1.00,1.00,0.98,
System.Threading.Tasks.ValueTaskPerfTest.Await_FromCompletedTask,1.00,1.00,1.03,
System.Threading.Tasks.ValueTaskPerfTest.Await_FromCompletedValueTaskSource,1.00,1.00,1.03,
System.Threading.Tasks.ValueTaskPerfTest.CreateAndAwait_FromResult,1.00,1.00,1.06,
System.Threading.Tasks.ValueTaskPerfTest.CreateAndAwait_FromResult_ConfigureAwait,1.00,1.00,0.96,
System.Threading.Tasks.ValueTaskPerfTest.CreateAndAwait_FromCompletedTask,1.00,1.00,1.00,
System.Threading.Tasks.ValueTaskPerfTest.CreateAndAwait_FromCompletedTask_ConfigureAwait,1.00,1.00,0.96,
System.Threading.Tasks.ValueTaskPerfTest.CreateAndAwait_FromCompletedValueTaskSource,1.00,1.00,0.99,
System.Threading.Tasks.ValueTaskPerfTest.CreateAndAwait_FromCompletedValueTaskSource_ConfigureAwait,1.00,1.00,0.92,
System.Threading.Tasks.ValueTaskPerfTest.CreateAndAwait_FromYieldingAsyncMethod,1.00,1.00,1.00,
System.Threading.Tasks.ValueTaskPerfTest.CreateAndAwait_FromDelayedTCS,1.00,1.00,0.95,
System.Threading.Tasks.ValueTaskPerfTest.Copy_PassAsArgumentAndReturn_FromResult,1.00,1.00,0.82,
System.Threading.Tasks.ValueTaskPerfTest.Copy_PassAsArgumentAndReturn_FromTask,1.00,1.00,1.02,
System.Threading.Tasks.ValueTaskPerfTest.Copy_PassAsArgumentAndReturn_FromValueTaskSource,1.00,1.00,1.00,
Benchstone.BenchF.Adams.Test,1.00,1.00,0.97,
System.Memory.ReadOnlyMemory<Byte>.Pin(Size: 512),1.00,1.00,0.97,
System.Memory.ReadOnlyMemory<Byte>.ToArray(Size: 512),1.00,1.00,1.04,
XmlDocumentTests.XmlNodeListTests.Perf_XmlNodeList.Enumerator,1.00,1.00,0.96,
XmlDocumentTests.XmlNodeListTests.Perf_XmlNodeList.GetCount,1.00,1.00,1.13,
GuardedDevirtualization.TwoClassVirtual.Call(testInput: pB = 0.00),SMALL,SMALL,SMALL,
GuardedDevirtualization.TwoClassVirtual.Call(testInput: pB = 0.10),SMALL,SMALL,SMALL,
GuardedDevirtualization.TwoClassVirtual.Call(testInput: pB = 0.20),SMALL,SMALL,SMALL,
GuardedDevirtualization.TwoClassVirtual.Call(testInput: pB = 0.30),1.00,1.00,1.00,
GuardedDevirtualization.TwoClassVirtual.Call(testInput: pB = 0.40),1.00,1.00,1.04,
GuardedDevirtualization.TwoClassVirtual.Call(testInput: pB = 0.50),1.00,1.00,1.00,
GuardedDevirtualization.TwoClassVirtual.Call(testInput: pB = 0.60),1.00,1.00,1.00,
GuardedDevirtualization.TwoClassVirtual.Call(testInput: pB = 0.70),1.00,1.00,1.02,
GuardedDevirtualization.TwoClassVirtual.Call(testInput: pB = 0.80),SMALL,SMALL,SMALL,
GuardedDevirtualization.TwoClassVirtual.Call(testInput: pB = 0.90),SMALL,SMALL,SMALL,
GuardedDevirtualization.TwoClassVirtual.Call(testInput: pB = 1.00),SMALL,SMALL,SMALL,
System.Net.NetworkInformation.Tests.NetworkInterfaceTests.GetAllNetworkInterfaces,1.00,1.00,1.01,
System.Net.NetworkInformation.Tests.NetworkInterfaceTests.GetAllNetworkInterfacesProperties,1.00,1.00,0.98,
MicroBenchmarks.Serializers.Json_ToString<Location>.Jil_,1.00,1.00,1.02,
MicroBenchmarks.Serializers.Json_ToString<Location>.JsonNet_,1.00,1.00,0.98,
MicroBenchmarks.Serializers.Json_ToString<Location>.Utf8Json_,1.00,1.00,0.98,
System.Xml.Linq.Perf_XName.CreateElement,1.00,1.00,0.96,
System.Xml.Linq.Perf_XName.CreateElementWithNamespace,1.00,1.00,1.03,
System.Xml.Linq.Perf_XName.CreateElementWithNamespaceImplicitOperator,1.00,1.00,0.95,
System.Xml.Linq.Perf_XName.EmptyNameSpaceToString,SMALL,SMALL,SMALL,
System.Xml.Linq.Perf_XName.NonEmptyNameSpaceToString,1.00,1.00,0.99,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.SingleSerial(RentalSize: 4096; ManipulateArray...,1.00,1.00,1.09,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.SingleParallel(RentalSize: 4096; ManipulateArr...,1.00,1.00,1.22,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.MultipleSerial(RentalSize: 4096; ManipulateArr...,1.00,1.00,1.02,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.ProducerConsumer(RentalSize: 4096; ManipulateA...,1.00,1.00,1.00,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.SingleSerial(RentalSize: 4096; ManipulateArray...,1.00,1.00,1.03,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.SingleParallel(RentalSize: 4096; ManipulateArr...,1.00,1.00,1.06,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.MultipleSerial(RentalSize: 4096; ManipulateArr...,1.00,1.00,1.04,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.ProducerConsumer(RentalSize: 4096; ManipulateA...,1.00,1.00,1.22,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.SingleSerial(RentalSize: 4096; ManipulateArray...,1.00,1.00,0.99,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.SingleParallel(RentalSize: 4096; ManipulateArr...,1.00,1.00,1.04,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.MultipleSerial(RentalSize: 4096; ManipulateArr...,1.00,1.00,1.04,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.ProducerConsumer(RentalSize: 4096; ManipulateA...,1.00,1.00,0.99,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.SingleSerial(RentalSize: 4096; ManipulateArray...,1.00,1.00,0.98,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.SingleParallel(RentalSize: 4096; ManipulateArr...,1.00,1.00,1.04,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.MultipleSerial(RentalSize: 4096; ManipulateArr...,1.00,1.00,1.03,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.ProducerConsumer(RentalSize: 4096; ManipulateA...,1.00,1.00,0.96,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.SingleSerial(RentalSize: 4096; ManipulateArray...,1.00,1.00,1.00,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.SingleParallel(RentalSize: 4096; ManipulateArr...,1.00,1.00,0.96,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.MultipleSerial(RentalSize: 4096; ManipulateArr...,1.00,1.00,1.00,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.ProducerConsumer(RentalSize: 4096; ManipulateA...,1.00,1.00,1.04,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.SingleSerial(RentalSize: 4096; ManipulateArray...,1.00,1.00,1.01,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.SingleParallel(RentalSize: 4096; ManipulateArr...,1.00,1.00,1.00,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.MultipleSerial(RentalSize: 4096; ManipulateArr...,1.00,1.00,1.01,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.ProducerConsumer(RentalSize: 4096; ManipulateA...,1.00,1.00,1.08,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.SingleSerial(RentalSize: 4096; ManipulateArray...,1.00,1.00,1.00,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.SingleParallel(RentalSize: 4096; ManipulateArr...,1.00,1.00,1.04,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.MultipleSerial(RentalSize: 4096; ManipulateArr...,1.00,1.00,0.99,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.ProducerConsumer(RentalSize: 4096; ManipulateA...,1.00,1.00,0.99,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.SingleSerial(RentalSize: 4096; ManipulateArray...,1.00,1.00,1.01,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.SingleParallel(RentalSize: 4096; ManipulateArr...,1.00,1.00,0.91,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.MultipleSerial(RentalSize: 4096; ManipulateArr...,1.00,1.00,1.00,
System.Buffers.Tests.RentReturnArrayPoolTests<Object>.ProducerConsumer(RentalSize: 4096; ManipulateA...,1.00,1.00,1.05,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.IterateTryGetArray,1.00,1.00,1.05,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.IterateForEachArray,1.00,1.00,1.00,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.IterateGetPositionArray,1.00,1.00,0.97,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.FirstArray,1.00,1.00,0.97,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.FirstSpanArray,1.00,1.00,1.01,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.FirstSpanMemory,1.00,1.00,0.98,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.FirstSpanSingleSegment,1.00,1.00,0.99,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.FirstSpanTenSegments,1.00,1.00,1.00,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.SliceArray,1.00,1.00,0.98,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.IterateTryGetMemory,1.00,1.00,1.01,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.IterateForEachMemory,1.00,1.00,1.00,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.IterateGetPositionMemory,1.00,1.00,0.99,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.FirstMemory,1.00,1.00,0.75,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.SliceMemory,1.00,1.00,0.99,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.IterateTryGetSingleSegment,1.00,1.00,1.00,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.IterateForEachSingleSegment,1.00,1.00,0.98,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.IterateGetPositionSingleSegment,1.00,1.00,0.98,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.FirstSingleSegment,1.00,1.00,0.99,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.SliceSingleSegment,1.00,1.00,1.00,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.IterateTryGetTenSegments,1.00,1.00,1.02,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.IterateForEachTenSegments,1.00,1.00,1.01,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.IterateGetPositionTenSegments,1.00,1.00,1.01,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.FirstTenSegments,1.00,1.00,0.98,
System.Buffers.Tests.ReadOnlySequenceTests<Byte>.SliceTenSegments,1.00,1.00,0.97,
System.Numerics.Tests.Constructor.SpanCastBenchmark_Byte,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.SpanCastBenchmark_SByte,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.SpanCastBenchmark_UInt16,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.SpanCastBenchmark_Int16,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.SpanCastBenchmark_UInt32,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.SpanCastBenchmark_Int32,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.SpanCastBenchmark_UInt64,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.SpanCastBenchmark_Int64,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.SpanCastBenchmark_Single,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.SpanCastBenchmark_Double,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.ConstructorBenchmark_Byte,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.ConstructorBenchmark_SByte,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.ConstructorBenchmark_UInt16,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.ConstructorBenchmark_Int16,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.ConstructorBenchmark_UInt32,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.ConstructorBenchmark_Int32,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.ConstructorBenchmark_UInt64,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.ConstructorBenchmark_Int64,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.ConstructorBenchmark_Single,SMALL,SMALL,SMALL,
System.Numerics.Tests.Constructor.ConstructorBenchmark_Double,SMALL,SMALL,SMALL,
Benchstone.BenchI.Puzzle.Test,1.00,1.00,1.02,
System.Collections.CtorGivenSizeNonGeneric.ArrayList(Size: 512),1.00,1.00,1.00,
System.Collections.CtorGivenSizeNonGeneric.Hashtable(Size: 512),1.00,1.00,1.04,
System.Collections.CtorGivenSizeNonGeneric.Queue(Size: 512),1.00,1.00,1.07,
System.Collections.CtorGivenSizeNonGeneric.Stack(Size: 512),1.00,1.00,1.03,
System.Collections.CtorGivenSizeNonGeneric.SortedList(Size: 512),1.00,1.00,0.98,
System.Collections.TryGetValueTrue<String; String>.Dictionary(Size: 512),1.00,1.00,0.88,
System.Collections.TryGetValueTrue<String; String>.IDictionary(Size: 512),1.00,1.00,1.01,
System.Collections.TryGetValueTrue<String; String>.SortedList(Size: 512),1.00,1.00,0.99,
System.Collections.TryGetValueTrue<String; String>.SortedDictionary(Size: 512),1.00,1.00,0.98,
System.Collections.TryGetValueTrue<String; String>.ConcurrentDictionary(Size: 512),1.00,1.00,1.06,
System.Collections.TryGetValueTrue<String; String>.ImmutableDictionary(Size: 512),1.00,1.00,1.00,
System.Collections.TryGetValueTrue<String; String>.ImmutableSortedDictionary(Size: 512),1.00,1.00,1.00,
System.Tests.Perf_IntPtr.ctor_int32,SMALL,SMALL,SMALL,
System.Tests.Perf_IntPtr.op_Equality_IntPtr_IntPtr,SMALL,SMALL,SMALL,
PerfLabTests.CastingPerf.ObjFooIsObj,1.00,1.00,1.01,
PerfLabTests.CastingPerf.ObjFooIsObj2,1.00,1.00,0.96,
PerfLabTests.CastingPerf.ObjObjIsFoo,1.00,1.00,1.17,
PerfLabTests.CastingPerf.FooObjIsFoo,1.00,1.00,0.99,
PerfLabTests.CastingPerf.FooObjIsFoo2,1.00,1.00,1.10,
PerfLabTests.CastingPerf.FooObjIsNull,1.00,1.00,0.96,
PerfLabTests.CastingPerf.FooObjIsDescendant,1.00,1.00,1.30,
PerfLabTests.CastingPerf.IFooFooIsIFoo,1.00,1.00,1.00,
PerfLabTests.CastingPerf.IFooObjIsIFoo,1.00,1.00,0.88,
PerfLabTests.CastingPerf.IFooObjIsIFooInterAlia,1.00,1.00,0.58,
PerfLabTests.CastingPerf.IFooObjIsDescendantOfIFoo,1.00,1.00,0.76,
PerfLabTests.CastingPerf.ObjInt,1.00,1.00,1.06,
PerfLabTests.CastingPerf.IntObj,1.00,1.00,1.03,
PerfLabTests.CastingPerf.ObjScalarValueType,1.00,1.00,0.99,
PerfLabTests.CastingPerf.ScalarValueTypeObj,1.00,1.00,1.02,
PerfLabTests.CastingPerf.ObjObjrefValueType,1.00,1.00,0.99,
PerfLabTests.CastingPerf.ObjrefValueTypeObj,1.00,1.00,1.04,
PerfLabTests.CastingPerf.FooObjCastIfIsa,1.00,1.00,1.06,
PerfLabTests.CastingPerf.CheckObjIsInterfaceYes,1.00,1.00,1.00,
PerfLabTests.CastingPerf.CheckObjIsInterfaceNo,1.00,1.00,1.01,
PerfLabTests.CastingPerf.CheckIsInstAnyIsInterfaceYes,1.00,1.00,1.04,
PerfLabTests.CastingPerf.CheckIsInstAnyIsInterfaceNo,1.00,1.00,1.05,
PerfLabTests.CastingPerf.CheckArrayIsInterfaceYes,1.00,1.00,1.05,
PerfLabTests.CastingPerf.CheckArrayIsInterfaceNo,1.00,1.00,1.03,
PerfLabTests.CastingPerf.CheckArrayIsNonvariantGenericInterface,1.00,1.00,0.75,
PerfLabTests.CastingPerf.CheckArrayIsNonvariantGenericInterfaceNo,1.00,1.00,0.82,
PerfLabTests.CastingPerf.CheckArrayIsArrayByVariance,SMALL,SMALL,SMALL,
PerfLabTests.CastingPerf.CheckListIsVariantGenericInterface,1.00,1.00,1.98,
PerfLabTests.CastingPerf.CheckArrayIsVariantGenericInterfaceNo,1.00,1.00,0.64,
PerfLabTests.CastingPerf.AssignArrayElementByVariance,1.00,1.00,1.15,
PerfLabTests.CastingPerf.CheckArrayIsVariantGenericInterfaceReflection,SMALL,SMALL,SMALL,
V8.Richards.Support.Bench,1.00,1.00,1.02,
System.Collections.CreateAddAndRemove<String>.List(Size: 512),1.00,1.00,1.04,
System.Collections.CreateAddAndRemove<String>.LinkedList(Size: 512),1.00,1.00,0.99,
System.Collections.CreateAddAndRemove<String>.HashSet(Size: 512),1.00,1.00,0.98,
System.Collections.CreateAddAndRemove<String>.Dictionary(Size: 512),1.00,1.00,1.04,
System.Collections.CreateAddAndRemove<String>.SortedList(Size: 512),1.00,1.00,1.04,
System.Collections.CreateAddAndRemove<String>.SortedSet(Size: 512),1.00,1.00,1.04,
System.Collections.CreateAddAndRemove<String>.SortedDictionary(Size: 512),1.00,1.00,1.00,
System.Collections.CreateAddAndRemove<String>.Stack(Size: 512),1.00,1.00,1.01,
System.Collections.CreateAddAndRemove<String>.Queue(Size: 512),1.00,1.00,1.01,
System.Tests.Perf_Guid.NewGuid,1.00,1.00,1.02,
System.Tests.Perf_Guid.ctor_str,1.00,1.00,0.98,
System.Tests.Perf_Guid.ctor_bytes,1.00,1.00,0.97,
System.Tests.Perf_Guid.EqualsSame,SMALL,SMALL,SMALL,
System.Tests.Perf_Guid.Parse,1.00,1.00,1.01,
System.Tests.Perf_Guid.ParseExactD,1.00,1.00,1.00,
System.Tests.Perf_Guid.GuidToString,1.00,1.00,1.01,
System.Tests.Perf_Guid.TryWriteBytes,1.00,1.00,1.01,
System.Net.Security.Tests.SslStreamTests.HandshakeAsync,1.00,1.00,1.00,
System.Net.Security.Tests.SslStreamTests.TLS12HandshakeECDSA256CertAsync,1.00,1.00,0.99,
System.Net.Security.Tests.SslStreamTests.TLS12HandshakeECDSA512CertAsync,1.00,1.00,0.99,
System.Net.Security.Tests.SslStreamTests.TLS12HandshakeRSA1024CertAsync,1.00,1.00,1.00,
System.Net.Security.Tests.SslStreamTests.TLS12HandshakeRSA2048CertAsync,1.00,1.00,1.02,
System.Net.Security.Tests.SslStreamTests.TLS12HandshakeRSA4096CertAsync,1.00,1.00,1.00,
System.Net.Security.Tests.SslStreamTests.WriteReadAsync,1.00,1.00,1.03,
System.Net.Security.Tests.SslStreamTests.ReadWriteAsync,1.00,1.00,0.99,
System.Net.Security.Tests.SslStreamTests.ConcurrentReadWrite,1.00,1.00,1.00,
System.Net.Security.Tests.SslStreamTests.ConcurrentReadWriteLargeBuffer,1.00,1.00,0.99,
System.Tests.Perf_Int32.ToString(value: -2147483648),1.00,1.00,1.04,
System.Tests.Perf_Int32.ToStringHex(value: -2147483648),1.00,1.00,0.97,
System.Tests.Perf_Int32.Parse(value: "-2147483648"),1.00,1.00,1.00,
System.Tests.Perf_Int32.TryParse(value: "-2147483648"),1.00,1.00,0.99,
System.Tests.Perf_Int32.ParseSpan(value: "-2147483648"),1.00,1.00,1.00,
System.Tests.Perf_Int32.TryFormat(value: -2147483648),1.00,1.00,1.02,
System.Tests.Perf_Int32.TryParseSpan(value: "-2147483648"),1.00,1.00,0.99,
System.Tests.Perf_Int32.Parse(value: "12345"),1.00,1.00,0.97,
System.Tests.Perf_Int32.TryParse(value: "12345"),1.00,1.00,0.99,
