Benchmark,dotnet_core,mono_interpreter,mono_jit
System.Threading.Tests.Perf_Monitor.EnterExit,1.00,10.36,2.30,
System.Threading.Tests.Perf_Monitor.TryEnterExit,1.00,15.12,4.56,
Benchstone.BenchF.Regula.Test,1.00,9.47,1.59,
System.Globalization.Tests.Perf_CultureInfo.GetCurrentCulture,SMALL,SMALL,SMALL,
System.Globalization.Tests.Perf_CultureInfo.GetInvariantCulture,SMALL,SMALL,SMALL,
System.Collections.IterateForEach<Int32>.Array(Size: 512),1.00,16.70,1.74,
System.Collections.IterateForEach<Int32>.Span(Size: 512),1.00,25.29,3.02,
System.Collections.IterateForEach<Int32>.ReadOnlySpan(Size: 512),1.00,24.65,3.02,
System.Collections.IterateForEach<Int32>.IEnumerable(Size: 512),1.00,16.39,1.38,
System.Collections.IterateForEach<Int32>.List(Size: 512),1.00,18.40,1.81,
System.Collections.IterateForEach<Int32>.LinkedList(Size: 512),1.00,10.27,0.83,
System.Collections.IterateForEach<Int32>.HashSet(Size: 512),1.00,14.88,1.47,
System.Collections.IterateForEach<Int32>.Dictionary(Size: 512),1.00,14.40,0.81,
System.Collections.IterateForEach<Int32>.Queue(Size: 512),1.00,22.67,1.89,
System.Collections.IterateForEach<Int32>.Stack(Size: 512),1.00,22.46,1.99,
System.Collections.IterateForEach<Int32>.SortedList(Size: 512),1.00,10.57,1.10,
System.Collections.IterateForEach<Int32>.SortedSet(Size: 512),1.00,13.27,1.33,
System.Collections.IterateForEach<Int32>.SortedDictionary(Size: 512),1.00,15.54,1.77,
System.Collections.IterateForEach<Int32>.ConcurrentDictionary(Size: 512),1.00,9.18,0.81,
System.Collections.IterateForEach<Int32>.ConcurrentQueue(Size: 512),1.00,14.79,1.08,
System.Collections.IterateForEach<Int32>.ConcurrentStack(Size: 512),1.00,12.90,0.99,
System.Collections.IterateForEach<Int32>.ConcurrentBag(Size: 512),1.00,17.97,1.62,
System.Collections.IterateForEach<Int32>.ImmutableArray(Size: 512),1.00,59.89,4.60,
System.Collections.IterateForEach<Int32>.ImmutableDictionary(Size: 512),1.00,11.54,1.14,
System.Collections.IterateForEach<Int32>.ImmutableHashSet(Size: 512),1.00,13.74,1.34,
System.Collections.IterateForEach<Int32>.ImmutableList(Size: 512),1.00,19.86,1.53,
System.Collections.IterateForEach<Int32>.ImmutableQueue(Size: 512),1.00,13.42,1.22,
System.Collections.IterateForEach<Int32>.ImmutableStack(Size: 512),1.00,13.33,1.23,
System.Collections.IterateForEach<Int32>.ImmutableSortedDictionary(Size: 512),1.00,20.60,1.49,
System.Collections.IterateForEach<Int32>.ImmutableSortedSet(Size: 512),1.00,18.68,1.45,
System.Memory.Memory<Byte>.Pin(Size: 512),1.00,20.98,4.07,
System.Memory.Memory<Byte>.ToArray(Size: 512),1.00,51.27,6.23,
System.Numerics.Tests.Perf_Vector2.AddOperatorBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector2.AddFunctionBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector2.SubtractOperatorBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector2.SubtractFunctionBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector2.MultiplyOperatorBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector2.MultiplyFunctionBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector2.DistanceSquaredBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector2.LengthSquaredBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector2.GetHashCodeBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector2.DistanceBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector2.DotBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector2.LengthBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector2.SquareRootBenchmark,SMALL,SMALL,SMALL,
System.Numerics.Tests.Perf_Vector2.NormalizeBenchmark,SMALL,SMALL,SMALL,
BenchmarksGame.ReverseComplement_6.RunBench,1.00,19.26,1.05,
BenchmarksGame.NBody_3.RunBench,1.00,14.50,2.11,
System.Net.Primitives.Tests.IPAddressPerformanceTests.NetworkToHostOrder,SMALL,SMALL,SMALL,
System.Net.Primitives.Tests.IPAddressPerformanceTests.GetAddressBytes(address: 1020:3040:5060:7080:9...,1.00,31.51,2.38,
System.Net.Primitives.Tests.IPAddressPerformanceTests.ToString(address: 1020:3040:5060:7080:9010:111...,SMALL,SMALL,SMALL,
System.Net.Primitives.Tests.IPAddressPerformanceTests.TryFormat(address: 1020:3040:5060:7080:9010:11...,1.00,23.66,1.97,
System.Net.Primitives.Tests.IPAddressPerformanceTests.TryWriteBytes(address: 1020:3040:5060:7080:901...,1.00,23.45,1.64,
System.Net.Primitives.Tests.IPAddressPerformanceTests.GetAddressBytes(address: 143.24.20.36),1.00,39.50,3.48,
System.Net.Primitives.Tests.IPAddressPerformanceTests.ToString(address: 143.24.20.36),SMALL,SMALL,SMALL,
System.Net.Primitives.Tests.IPAddressPerformanceTests.TryFormat(address: 143.24.20.36),1.00,21.91,1.66,
System.Net.Primitives.Tests.IPAddressPerformanceTests.TryWriteBytes(address: 143.24.20.36),1.00,21.59,1.66,
System.Net.Primitives.Tests.IPAddressPerformanceTests.Ctor_Bytes(address: [143; 24; 20; 36]),1.00,17.81,2.03,
System.Net.Primitives.Tests.IPAddressPerformanceTests.Ctor_Bytes(address: [16; 32; 48; 64; 80; ...]),1.00,14.18,1.79,
System.Net.Primitives.Tests.IPAddressPerformanceTests.Ctor_Span(address: [143; 24; 20; 36]),1.00,16.50,1.80,
System.Net.Primitives.Tests.IPAddressPerformanceTests.Ctor_Span(address: [16; 32; 48; 64; 80; ...]),1.00,13.54,1.67,
MicroBenchmarks.Serializers.Json_FromString<LoginViewModel>.Jil_,1.00,20.48,1.55,
MicroBenchmarks.Serializers.Json_FromString<LoginViewModel>.JsonNet_,1.00,39.96,1.72,
MicroBenchmarks.Serializers.Json_FromString<LoginViewModel>.Utf8Json_,1.00,49.54,2.97,
Layout.SearchLoops.LoopReturn,1.00,28.69,2.05,
Layout.SearchLoops.LoopGoto,1.00,28.77,1.57,
GuardedDevirtualization.ThreeClassInterface.Call(testInput: pB=0.00 pD=0.00),SMALL,SMALL,SMALL,
GuardedDevirtualization.ThreeClassInterface.Call(testInput: pB=0.00 pD=0.33),1.00,4.93,0.81,
GuardedDevirtualization.ThreeClassInterface.Call(testInput: pB=0.00 pD=0.67),1.00,5.42,0.87,
GuardedDevirtualization.ThreeClassInterface.Call(testInput: pB=0.00 pD=1.00),SMALL,SMALL,SMALL,
GuardedDevirtualization.ThreeClassInterface.Call(testInput: pB=0.33 pD=0.00),1.00,4.92,0.81,
GuardedDevirtualization.ThreeClassInterface.Call(testInput: pB=0.33 pD=0.33),1.00,3.62,0.86,
GuardedDevirtualization.ThreeClassInterface.Call(testInput: pB=0.33 pD=0.67),1.00,4.93,0.81,
GuardedDevirtualization.ThreeClassInterface.Call(testInput: pB=0.67 pD=0.00),1.00,5.34,0.87,
GuardedDevirtualization.ThreeClassInterface.Call(testInput: pB=0.67 pD=0.33),1.00,5.43,0.86,
GuardedDevirtualization.ThreeClassInterface.Call(testInput: pB=1.00 pD=0.00),SMALL,SMALL,SMALL,
System.Buffers.Text.Tests.Utf8FormatterTests.FormatterDouble(value: -1.7976931348623157E+308),1.00,66.30,2.00,
System.Buffers.Text.Tests.Utf8FormatterTests.FormatterInt32(value: -2147483648),1.00,58.96,7.65,
System.Buffers.Text.Tests.Utf8FormatterTests.FormatterInt64(value: -9223372036854775808),1.00,36.74,7.15,
System.Buffers.Text.Tests.Utf8FormatterTests.FormatterUInt64(value: 0),SMALL,SMALL,SMALL,
System.Buffers.Text.Tests.Utf8FormatterTests.FormatterUInt32(value: 0),SMALL,SMALL,SMALL,
System.Buffers.Text.Tests.Utf8FormatterTests.FormatterDouble(value: 1.7976931348623157E+308),1.00,67.35,1.99,
System.Buffers.Text.Tests.Utf8FormatterTests.FormatterDateTimeOffsetNow(value: 12/30/2017 3:45:22 AM...,1.00,33.78,4.08,
System.Buffers.Text.Tests.Utf8FormatterTests.FormatterInt64(value: 12345),1.00,53.53,4.66,
System.Buffers.Text.Tests.Utf8FormatterTests.FormatterUInt64(value: 12345),1.00,88.94,7.73,
System.Buffers.Text.Tests.Utf8FormatterTests.FormatterUInt32(value: 12345),1.00,92.73,7.83,
System.Buffers.Text.Tests.Utf8FormatterTests.FormatterDouble(value: 12345),1.00,66.00,2.05,
System.Buffers.Text.Tests.Utf8FormatterTests.FormatterDecimal(value: 123456.789),1.00,21.47,2.00,
System.Buffers.Text.Tests.Utf8FormatterTests.FormatterUInt64(value: 18446744073709551615),1.00,36.08,7.10,
System.Buffers.Text.Tests.Utf8FormatterTests.FormatterInt32(value: 4),SMALL,SMALL,SMALL,
System.Buffers.Text.Tests.Utf8FormatterTests.FormatterInt32(value: 12345),1.00,56.22,4.72,
System.Buffers.Text.Tests.Utf8FormatterTests.FormatterInt32(value: 2147483647),1.00,48.28,6.75,
System.Buffers.Text.Tests.Utf8FormatterTests.FormatterUInt32(value: 4294967295),1.00,63.41,8.35,
System.Buffers.Text.Tests.Utf8FormatterTests.FormatterInt64(value: 9223372036854775807),1.00,36.41,7.10,
MicroBenchmarks.Serializers.Binary_ToStream<CollectionsOfPrimitives>.BinaryFormatter_,1.00,35.73,5.27,
MicroBenchmarks.Serializers.Binary_ToStream<CollectionsOfPrimitives>.ProtoBuffNet,1.00,27.89,2.39,
MicroBenchmarks.Serializers.Binary_ToStream<CollectionsOfPrimitives>.MessagePack_,1.00,31.35,1.91,
System.Text.Json.Tests.Perf_Ctor.Ctor(Formatted: False; SkipValidation: False),1.00,17.59,1.30,
System.Text.Json.Tests.Perf_Ctor.Ctor(Formatted: False; SkipValidation: True),1.00,18.84,1.36,
System.Text.Json.Tests.Perf_Ctor.Ctor(Formatted: True; SkipValidation: False),1.00,18.68,1.35,
System.Text.Json.Tests.Perf_Ctor.Ctor(Formatted: True; SkipValidation: True),1.00,17.94,1.32,
System.Text.RegularExpressions.Tests.Perf_Regex_Cache.IsMatch(total: 40000; unique: 7; cacheSize: 0),1.00,35.44,2.29,
System.Text.RegularExpressions.Tests.Perf_Regex_Cache.IsMatch_Multithreading(total: 40000; unique: 7...,1.00,19.17,2.51,
System.Text.RegularExpressions.Tests.Perf_Regex_Cache.IsMatch(total: 40000; unique: 1600; cacheSize:...,1.00,29.61,2.46,
System.Text.RegularExpressions.Tests.Perf_Regex_Cache.IsMatch_Multithreading(total: 40000; unique: 1...,1.00,25.83,5.30,
System.Text.RegularExpressions.Tests.Perf_Regex_Cache.IsMatch(total: 40000; unique: 1600; cacheSize:...,1.00,21.57,1.76,
System.Text.RegularExpressions.Tests.Perf_Regex_Cache.IsMatch_Multithreading(total: 40000; unique: 1...,1.00,15.17,3.24,
System.Text.RegularExpressions.Tests.Perf_Regex_Cache.IsMatch(total: 40000; unique: 1600; cacheSize:...,1.00,47.03,2.46,
System.Text.RegularExpressions.Tests.Perf_Regex_Cache.IsMatch_Multithreading(total: 40000; unique: 1...,1.00,78.38,11.50,
System.Text.RegularExpressions.Tests.Perf_Regex_Cache.IsMatch(total: 400000; unique: 1; cacheSize: 1...,1.00,32.81,2.59,
System.Text.RegularExpressions.Tests.Perf_Regex_Cache.IsMatch_Multithreading(total: 400000; unique: ...,1.00,11.83,1.83,
System.Text.RegularExpressions.Tests.Perf_Regex_Cache.IsMatch(total: 400000; unique: 7; cacheSize: 1...,1.00,46.78,2.75,
System.Text.RegularExpressions.Tests.Perf_Regex_Cache.IsMatch_Multithreading(total: 400000; unique: ...,1.00,35.38,7.30,
CscBench.CompileTest,1.00,11.47,1.76,
CscBench.DatflowTest,1.00,23.43,2.15,
System.Memory.Constructors<Byte>.SpanFromArray,SMALL,SMALL,SMALL,
System.Memory.Constructors<Byte>.ReadOnlySpanFromArray,SMALL,SMALL,SMALL,
System.Memory.Constructors<Byte>.SpanFromArrayStartLength,SMALL,SMALL,SMALL,
System.Memory.Constructors<Byte>.ReadOnlySpanFromArrayStartLength,SMALL,SMALL,SMALL,
System.Memory.Constructors<Byte>.SpanFromMemory,1.00,38.45,2.41,
System.Memory.Constructors<Byte>.ReadOnlySpanFromMemory,1.00,40.58,2.41,
System.Memory.Constructors<Byte>.SpanImplicitCastFromArray,SMALL,SMALL,SMALL,
System.Memory.Constructors<Byte>.ReadOnlySpanImplicitCastFromArray,SMALL,SMALL,SMALL,
System.Memory.Constructors<Byte>.SpanImplicitCastFromArraySegment,1.00,32.58,2.44,
System.Memory.Constructors<Byte>.ReadOnlySpanImplicitCastFromArraySegment,1.00,23.51,2.39,
System.Memory.Constructors<Byte>.ReadOnlySpanImplicitCastFromSpan,SMALL,SMALL,SMALL,
System.Memory.Constructors<Byte>.MemoryFromArray,SMALL,SMALL,SMALL,
System.Memory.Constructors<Byte>.ReadOnlyMemoryFromArray,SMALL,SMALL,SMALL,
System.Memory.Constructors<Byte>.MemoryFromArrayStartLength,SMALL,SMALL,SMALL,
System.Memory.Constructors<Byte>.ReadOnlyMemoryFromArrayStartLength,SMALL,SMALL,SMALL,
System.Memory.Constructors<Byte>.ArrayAsSpan,SMALL,SMALL,SMALL,
System.Memory.Constructors<Byte>.ArrayAsSpanStartLength,SMALL,SMALL,SMALL,
System.Memory.Constructors<Byte>.ArrayAsMemory,SMALL,SMALL,SMALL,
System.Memory.Constructors<Byte>.ArrayAsMemoryStartLength,SMALL,SMALL,SMALL,
System.Memory.Constructors<Byte>.MemoryMarshalCreateSpan,SMALL,SMALL,SMALL,
System.Memory.Constructors<Byte>.MemoryMarshalCreateReadOnlySpan,SMALL,SMALL,SMALL,
MicroBenchmarks.Serializers.Xml_FromStream<MyEventsListerViewModel>.XmlSerializer_,1.00,49.35,4.72,
MicroBenchmarks.Serializers.Xml_FromStream<MyEventsListerViewModel>.DataContractSerializer_,1.00,39.39,1.72,
System.Tests.Perf_Char.GetUnicodeCategory(c: '.'),SMALL,SMALL,SMALL,
System.Tests.Perf_Char.Char_ToLower(c: 'A'; cultureName: en-US),SMALL,SMALL,SMALL,
System.Tests.Perf_Char.Char_ToUpper(c: 'A'; cultureName: en-US),SMALL,SMALL,SMALL,
System.Tests.Perf_Char.Char_IsLower(input: "Good afternoon; Constable!"),1.00,125.67,12.26,
System.Tests.Perf_Char.Char_IsUpper(input: "Good afternoon; Constable!"),1.00,115.47,11.94,
System.Tests.Perf_Char.Char_ToLower(c: 'a'; cultureName: en-US),SMALL,SMALL,SMALL,
System.Tests.Perf_Char.Char_ToUpper(c: 'a'; cultureName: en-US),SMALL,SMALL,SMALL,
System.Tests.Perf_Char.GetUnicodeCategory(c: 'a'),SMALL,SMALL,SMALL,
System.Tests.Perf_Char.Char_ToLower(c: 'İ'; cultureName: en-US),1.00,18.10,6.22,
System.Tests.Perf_Char.Char_ToUpper(c: 'İ'; cultureName: en-US),1.00,17.98,6.00,
System.Tests.Perf_Char.GetUnicodeCategory(c: 'א'),SMALL,SMALL,SMALL,
System.Tests.Perf_Char.Char_ToLower(c: '你'; cultureName: zh-Hans),1.00,19.65,5.60,
System.Tests.Perf_Char.Char_ToUpper(c: '你'; cultureName: zh-Hans),1.00,19.85,5.56,
Benchstone.BenchF.Lorenz.Test,1.00,8.27,1.40,
System.Text.Json.Serialization.Tests.ReadJson<ImmutableSortedDictionary<String; String>>.Deserialize...,1.00,39.40,4.50,
System.Text.Json.Serialization.Tests.ReadJson<ImmutableSortedDictionary<String; String>>.Deserialize...,1.00,35.39,4.18,
System.Text.Json.Serialization.Tests.ReadJson<ImmutableSortedDictionary<String; String>>.Deserialize...,1.00,34.83,4.08,
MicroBenchmarks.Serializers.Json_ToStream<LoginViewModel>.Jil_,1.00,44.66,3.23,
MicroBenchmarks.Serializers.Json_ToStream<LoginViewModel>.JsonNet_,1.00,42.31,2.30,
MicroBenchmarks.Serializers.Json_ToStream<LoginViewModel>.Utf8Json_,1.00,43.52,1.78,
MicroBenchmarks.Serializers.Json_ToStream<LoginViewModel>.DataContractJsonSerializer_,1.00,40.83,2.06,
System.Text.Json.Serialization.Tests.WriteJson<Hashtable>.SerializeToString,1.00,72.82,6.22,
System.Text.Json.Serialization.Tests.WriteJson<Hashtable>.SerializeToUtf8Bytes,1.00,56.13,4.60,
System.Text.Json.Serialization.Tests.WriteJson<Hashtable>.SerializeToStream,1.00,58.15,4.73,
System.Text.Json.Serialization.Tests.WriteJson<Hashtable>.SerializeObjectProperty,1.00,93.84,6.98,
System.Collections.CreateAddAndClear<String>.Array(Size: 512),1.00,53.53,1.53,
System.Collections.CreateAddAndClear<String>.Span(Size: 512),1.00,55.29,0.99,
System.Collections.CreateAddAndClear<String>.List(Size: 512),1.00,48.22,2.70,
System.Collections.CreateAddAndClear<String>.ICollection(Size: 512),1.00,34.06,1.88,
System.Collections.CreateAddAndClear<String>.LinkedList(Size: 512),1.00,10.05,1.16,
System.Collections.CreateAddAndClear<String>.HashSet(Size: 512),1.00,31.63,2.03,
System.Collections.CreateAddAndClear<String>.Dictionary(Size: 512),1.00,23.52,2.30,
System.Collections.CreateAddAndClear<String>.IDictionary(Size: 512),1.00,23.14,2.26,
System.Collections.CreateAddAndClear<String>.SortedList(Size: 512),1.00,10.23,2.69,
System.Collections.CreateAddAndClear<String>.SortedSet(Size: 512),1.00,10.22,2.60,
System.Collections.CreateAddAndClear<String>.SortedDictionary(Size: 512),1.00,10.06,2.41,
System.Collections.CreateAddAndClear<String>.ConcurrentDictionary(Size: 512),1.00,18.34,4.13,
System.Collections.CreateAddAndClear<String>.Stack(Size: 512),1.00,37.75,1.77,
System.Collections.CreateAddAndClear<String>.ConcurrentStack(Size: 512),1.00,10.21,1.02,
System.Collections.CreateAddAndClear<String>.Queue(Size: 512),1.00,37.92,1.94,
System.Collections.CreateAddAndClear<String>.ConcurrentQueue(Size: 512),1.00,11.41,2.01,
System.Collections.CreateAddAndClear<String>.ConcurrentBag(Size: 512),1.00,19.80,1.31,
System.Collections.ContainsKeyFalse<Int32; Int32>.Dictionary(Size: 512),1.00,28.19,2.38,
System.Collections.ContainsKeyFalse<Int32; Int32>.IDictionary(Size: 512),1.00,24.70,2.10,
System.Collections.ContainsKeyFalse<Int32; Int32>.SortedList(Size: 512),1.00,33.67,1.92,
System.Collections.ContainsKeyFalse<Int32; Int32>.SortedDictionary(Size: 512),1.00,15.77,1.10,
System.Collections.ContainsKeyFalse<Int32; Int32>.ConcurrentDictionary(Size: 512),1.00,26.88,1.40,
System.Collections.ContainsKeyFalse<Int32; Int32>.ImmutableDictionary(Size: 512),1.00,13.26,1.89,
System.Collections.ContainsKeyFalse<Int32; Int32>.ImmutableSortedDictionary(Size: 512),1.00,23.86,1.56,
MicroBenchmarks.Serializers.Xml_ToStream<IndexViewModel>.XmlSerializer_,1.00,66.09,3.71,
MicroBenchmarks.Serializers.Xml_ToStream<IndexViewModel>.DataContractSerializer_,1.00,39.29,2.09,
MicroBenchmarks.Serializers.Xml_FromStream<IndexViewModel>.XmlSerializer_,1.00,49.66,4.37,
MicroBenchmarks.Serializers.Xml_FromStream<IndexViewModel>.DataContractSerializer_,1.00,36.84,1.77,
System.Threading.Channels.Tests.UnboundedChannelPerfTests.TryWriteThenTryRead,1.00,20.87,1.93,
System.Threading.Channels.Tests.UnboundedChannelPerfTests.WriteAsyncThenReadAsync,1.00,24.38,1.42,
System.Threading.Channels.Tests.UnboundedChannelPerfTests.ReadAsyncThenWriteAsync,1.00,24.86,1.78,
System.Threading.Channels.Tests.UnboundedChannelPerfTests.PingPong,1.00,17.10,1.33,
System.Threading.Channels.Tests.SpscUnboundedChannelPerfTests.TryWriteThenTryRead,1.00,18.38,1.94,
System.Threading.Channels.Tests.SpscUnboundedChannelPerfTests.WriteAsyncThenReadAsync,1.00,21.61,1.48,
System.Threading.Channels.Tests.SpscUnboundedChannelPerfTests.ReadAsyncThenWriteAsync,1.00,22.73,1.59,
System.Threading.Channels.Tests.SpscUnboundedChannelPerfTests.PingPong,1.00,13.93,1.23,
System.IO.MemoryMappedFiles.Tests.Perf_MemoryMappedFile.CreateNew(capacity: 10000),1.00,1.40,1.06,
System.IO.MemoryMappedFiles.Tests.Perf_MemoryMappedFile.CreateFromFile(capacity: 10000),1.00,2.76,1.03,
System.IO.MemoryMappedFiles.Tests.Perf_MemoryMappedFile.CreateNew(capacity: 100000),1.00,1.41,1.06,
System.IO.MemoryMappedFiles.Tests.Perf_MemoryMappedFile.CreateFromFile(capacity: 100000),1.00,2.73,1.01,
System.IO.MemoryMappedFiles.Tests.Perf_MemoryMappedFile.CreateNew(capacity: 1000000),1.00,1.41,1.06,
System.IO.MemoryMappedFiles.Tests.Perf_MemoryMappedFile.CreateFromFile(capacity: 1000000),1.00,2.71,1.03,
System.IO.MemoryMappedFiles.Tests.Perf_MemoryMappedFile.CreateNew(capacity: 10000000),1.00,1.41,1.07,
System.IO.MemoryMappedFiles.Tests.Perf_MemoryMappedFile.CreateFromFile(capacity: 10000000),1.00,2.28,1.03,
MicroBenchmarks.Serializers.Json_ToStream<IndexViewModel>.Jil_,1.00,50.03,3.56,
MicroBenchmarks.Serializers.Json_ToStream<IndexViewModel>.JsonNet_,1.00,53.88,3.39,
MicroBenchmarks.Serializers.Json_ToStream<IndexViewModel>.Utf8Json_,1.00,42.43,2.97,
MicroBenchmarks.Serializers.Json_ToStream<IndexViewModel>.DataContractJsonSerializer_,1.00,36.46,2.05,
System.Buffers.Tests.NonStandardArrayPoolTests<Object>.RentNoReturn(RentalSize: 64; UseSharedPool: F...,1.00,19.62,1.43,
System.Buffers.Tests.NonStandardArrayPoolTests<Object>.RentNoReturn(RentalSize: 64; UseSharedPool: T...,1.00,10.17,1.34,
System.Collections.Sort<String>.Array(Size: 512),1.00,12.29,2.99,
System.Collections.Sort<String>.Array_ComparerClass(Size: 512),1.00,11.85,2.89,
System.Collections.Sort<String>.Array_ComparerStruct(Size: 512),1.00,11.27,2.69,
System.Collections.Sort<String>.Array_Comparison(Size: 512),1.00,11.80,2.87,
System.Collections.Sort<String>.List(Size: 512),1.00,12.42,2.96,
System.Collections.Sort<String>.LinqQuery(Size: 512),1.00,14.99,3.42,
System.Collections.Sort<String>.LinqOrderByExtension(Size: 512),1.00,14.30,3.24,
System.Collections.CtorFromCollection<String>.List(Size: 512),1.00,2.59,1.63,
System.Collections.CtorFromCollection<String>.LinkedList(Size: 512),1.00,8.82,1.43,
System.Collections.CtorFromCollection<String>.HashSet(Size: 512),1.00,26.34,1.95,
System.Collections.CtorFromCollection<String>.Dictionary(Size: 512),1.00,13.33,1.97,
System.Collections.CtorFromCollection<String>.Queue(Size: 512),1.00,2.61,1.58,
System.Collections.CtorFromCollection<String>.Stack(Size: 512),1.00,2.56,1.59,
