Benchmark,dotnetcore_nollvm,mono_aa87d3db6d981426ecca6e2637238c8a211689a8_nollvm
Exceptions.Handling.ThrowAndCatch_ManyCatchBlocks(kind: ReflectionHardware),1.00,1.00,
Exceptions.Handling.ThrowAndCatchDeep(kind: ReflectionHardware),1.00,1.00,
Exceptions.Handling.ThrowAndCatchDeepRecursive(kind: ReflectionHardware),1.00,1.00,
Benchstone.BenchF.FFT.Test,1.00,1.00,
MicroBenchmarks.Serializers.Binary_ToStream<MyEventsListerViewModel>.BinaryFormatter_,1.00,1.00,
MicroBenchmarks.Serializers.Binary_ToStream<MyEventsListerViewModel>.ProtoBuffNet,1.00,1.00,
MicroBenchmarks.Serializers.Binary_ToStream<MyEventsListerViewModel>.MessagePack_,1.00,1.00,
BenchmarksGame.RegexRedux_1.RunBench,1.00,1.00,
Benchstone.BenchI.Midpoint.Test,1.00,1.00,
Benchstone.BenchI.TreeSort.Test,1.00,1.00,
GuardedDevirtualization.ThreeClassVirtual.Call(testInput: pB=0.00 pD=0.00),1.00,1.00,
GuardedDevirtualization.ThreeClassVirtual.Call(testInput: pB=0.00 pD=0.33),1.00,1.00,
GuardedDevirtualization.ThreeClassVirtual.Call(testInput: pB=0.00 pD=0.67),1.00,1.00,
GuardedDevirtualization.ThreeClassVirtual.Call(testInput: pB=0.00 pD=1.00),1.00,1.00,
GuardedDevirtualization.ThreeClassVirtual.Call(testInput: pB=0.33 pD=0.00),1.00,1.00,
GuardedDevirtualization.ThreeClassVirtual.Call(testInput: pB=0.33 pD=0.33),1.00,1.00,
GuardedDevirtualization.ThreeClassVirtual.Call(testInput: pB=0.33 pD=0.67),1.00,1.00,
GuardedDevirtualization.ThreeClassVirtual.Call(testInput: pB=0.67 pD=0.00),1.00,1.00,
GuardedDevirtualization.ThreeClassVirtual.Call(testInput: pB=0.67 pD=0.33),1.00,1.00,
GuardedDevirtualization.ThreeClassVirtual.Call(testInput: pB=1.00 pD=0.00),1.00,1.00,
Benchstone.BenchF.Adams.Test,1.00,1.00,
